Nâng cấp bắt đầu: 16:14:45_08-06-2016
16:14:45_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.28 | SUCCESS
16:14:47_08-06-2016 | 127.0.0.1 | Cập nhật module users lên 4.0.28 | SUCCESS
16:14:48_08-06-2016 | 127.0.0.1 | Xóa các file thừa bản 4.0.27 | SUCCESS
16:14:49_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:50_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:52_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:53_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:54_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:55_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:56_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:57_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:58_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:14:59_08-06-2016 | 127.0.0.1 | Cập nhật module news lên 4.0.29 | SUCCESS
16:15:01_08-06-2016 | 127.0.0.1 | Xóa các file thừa bản 4.0.28 | SUCCESS
16:15:02_08-06-2016 | 127.0.0.1 | Cập nhật CSDL lên phiên bản 4.0.28 | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Tạo thư mục assets/js/jquery-ui | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Tạo thư mục assets/js/jquery-ui/images | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Tạo thư mục assets/tpl | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/authors/add.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/authors/config.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/authors/del.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/authors/users.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/delfile.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/download.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/file.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/getfile.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/database/savefile.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/extensions/download.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/extensions/manage.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/extensions/update.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/extensions/upload.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/check.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/delete.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/download.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/edit.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/interface.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/main.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/read.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/setting.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/language/write.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/modules/edit.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/modules/functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/modules/list.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/modules/setup.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/modules/vmodule.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/seotools/admin.menu.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/seotools/functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/cdn.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/functions.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/language.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/main.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/plugin.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/settings/system.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/siteinfo/logs.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/siteinfo/logs_del.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/siteinfo/main.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/themes/activatetheme.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/themes/blocks.php | SUCCESS
16:20:00_08-06-2016 | 127.0.0.1 | Di chuyển file admin/themes/blocks_reset_order.php | SUCCESS
